1,1,0.050000,0.021533,0.021533

1,1,0.120000,0.051553,0.051553

1,1,0.190000,0.079176,0.079176

1,1,0.240000,0.107703,0.107703

1,1,0.290000,0.137629,0.137629

1,1,0.340000,0.169783,0.169783

1,1,0.390000,0.208343,0.208343

1,1,0.430000,0.253906,0.253906

1,1,0.480000,0.292847,0.292847

1,1,0.530000,0.342770,0.342770

1,1,0.580000,0.396693,0.396693

1,1,0.620000,0.453608,0.453608

1,1,0.670000,0.514180,0.514180

1,1,0.720000,0.581048,0.581048

1,1,0.770000,0.650275,0.650275

1,1,0.820000,0.726648,0.726648

1,1,0.860000,0.810149,0.810149

1,1,0.910000,0.890564,0.890564

1,1,0.050000,0.021533,0.021533

1,1,0.120000,0.051553,0.051553

1,1,0.190000,0.079176,0.079176

1,1,0.240000,0.107703,0.107703

1,1,0.290000,0.137629,0.137629

1,1,0.340000,0.169783,0.169783

1,1,0.390000,0.208343,0.208343

1,1,0.430000,0.253906,0.253906

1,1,0.480000,0.292847,0.292847

1,1,0.530000,0.342770,0.342770

1,1,0.580000,0.396693,0.396693

1,1,0.620000,0.453608,0.453608

1,1,0.670000,0.514180,0.514180

1,1,0.720000,0.581048,0.581048

1,1,0.770000,0.650275,0.650275

1,1,0.820000,0.726648,0.726648

1,1,0.860000,0.810149,0.810149

1,1,0.910000,0.890564,0.890564

